F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Y
39,K1,77516,R1,13,Q1,P1,M1,caucasian,Male,2174,0,40,USA,0
50,K2,83311,R1,13,Q2,P2,M2,caucasian,Male,0,0,13,USA,0
38,K3,215646,R2,9,Q3,P3,M1,caucasian,Male,0,0,40,USA,0
53,K3,234721,R3,7,Q2,P3,M2,black,Male,0,0,40,USA,0
28,K3,338409,R1,13,Q2,P4,M3,black,Female,0,0,40,Cuba,0
37,K3,284582,R4,14,Q2,P2,M3,caucasian,Female,0,0,40,USA,0
49,K3,160187,R5,5,Q4,P5,M1,black,Female,0,0,16,Jamaica,0
52,K2,209642,R2,9,Q2,P2,M2,caucasian,Male,0,0,45,USA,1
31,K3,45781,R4,14,Q1,P4,M1,caucasian,Female,14084,0,50,USA,1
42,K3,159449,R1,13,Q2,P2,M2,caucasian,Male,5178,0,40,USA,1
37,K3,280464,R6,10,Q2,P2,M2,black,Male,0,0,80,USA,1
30,K1,141297,R1,13,Q2,P4,M2,asian,Male,0,0,40,India,1
23,K3,122272,R1,13,Q1,P1,M4,caucasian,Female,0,0,30,USA,0
32,K3,205019,R7,12,Q1,P6,M1,black,Male,0,0,50,USA,0
40,K3,121772,R8,11,Q2,P7,M2,asian,Male,0,0,40,,1
34,K3,245487,R9,4,Q2,P8,M2,american,Male,0,0,45,Mexico,0
25,K2,176756,R2,9,Q1,P9,M4,caucasian,Male,0,0,35,USA,0
32,K3,186824,R2,9,Q1,P10,M5,caucasian,Male,0,0,40,USA,0
38,K3,28887,R3,7,Q2,P6,M2,caucasian,Male,0,0,50,USA,0
43,K2,292175,R4,14,Q3,P2,M5,caucasian,Female,0,0,45,USA,1
40,K3,193524,R10,16,Q2,P4,M2,caucasian,Male,0,0,60,USA,1
54,K3,302146,R2,9,Q5,P5,M5,black,Female,0,0,20,USA,0
35,K4,76845,R5,5,Q2,P9,M2,black,Male,0,0,40,USA,0
43,K3,117037,R3,7,Q2,P8,M2,caucasian,Male,0,2042,40,USA,0
59,K3,109015,R2,9,Q3,P11,M5,caucasian,Female,0,0,40,USA,0
56,K5,216851,R1,13,Q2,P11,M2,caucasian,Male,0,0,40,USA,1
19,K3,168294,R2,9,Q1,P7,M4,caucasian,Male,0,0,40,USA,0
54,,180211,R6,10,Q2,,M2,asian,Male,0,0,60,South,1
39,K3,367260,R2,9,Q3,P2,M1,caucasian,Male,0,0,80,USA,0
49,K3,193366,R2,9,Q2,P7,M2,caucasian,Male,0,0,40,USA,0
23,K5,190709,R7,12,Q1,P12,M1,caucasian,Male,0,0,52,USA,0
20,K3,266015,R6,10,Q1,P6,M4,black,Male,0,0,44,USA,0
45,K3,386940,R1,13,Q3,P2,M4,caucasian,Male,0,1408,40,USA,0
30,K4,59951,R6,10,Q2,P1,M4,caucasian,Male,0,0,40,USA,0
22,K1,311512,R6,10,Q2,P5,M2,black,Male,0,0,15,USA,0
48,K3,242406,R3,7,Q1,P10,M5,caucasian,Male,0,0,40,Puerto-Rico,0
21,K3,197200,R6,10,Q1,P10,M4,caucasian,Male,0,0,40,USA,0
19,K3,544091,R2,9,Q6,P1,M3,caucasian,Female,0,0,25,USA,0
31,K3,84154,R6,10,Q2,P6,M2,caucasian,Male,0,0,38,,1
48,K2,265477,R7,12,Q2,P4,M2,caucasian,Male,0,0,40,USA,0
31,K3,507875,R5,5,Q2,P10,M2,caucasian,Male,0,0,43,USA,0
53,K2,88506,R1,13,Q2,P4,M2,caucasian,Male,0,0,40,USA,0
24,K3,172987,R1,13,Q2,P11,M2,caucasian,Male,0,0,50,USA,0
49,K3,94638,R2,9,Q5,P1,M5,caucasian,Female,0,0,40,USA,0
25,K3,289980,R2,9,Q1,P3,M1,caucasian,Male,0,0,35,USA,0
57,K4,337895,R1,13,Q2,P4,M2,black,Male,0,0,40,USA,1
53,K3,144361,R2,9,Q2,P10,M2,caucasian,Male,0,0,38,USA,0
44,K3,128354,R4,14,Q3,P2,M5,caucasian,Female,0,0,40,USA,0
41,K1,101603,R8,11,Q2,P7,M2,caucasian,Male,0,0,40,USA,0
29,K3,271466,R8,11,Q1,P4,M1,caucasian,Male,0,0,43,USA,0
25,K3,32275,R6,10,Q2,P2,M3,other,Female,0,0,40,USA,0
18,K3,226956,R2,9,Q1,P5,M4,caucasian,Female,0,0,30,,0
47,K3,51835,R11,15,Q2,P4,M3,caucasian,Female,0,1902,60,Honduras,1
50,K4,251585,R1,13,Q3,P2,M1,caucasian,Male,0,0,55,USA,1
47,K6,109832,R2,9,Q3,P2,M1,caucasian,Male,0,0,60,USA,0
43,K3,237993,R6,10,Q2,P11,M2,caucasian,Male,0,0,40,USA,1
46,K3,216666,R12,3,Q2,P10,M2,caucasian,Male,0,0,40,Mexico,0
35,K3,56352,R8,11,Q2,P5,M2,caucasian,Male,0,0,40,Puerto-Rico,0
41,K3,147372,R2,9,Q2,P1,M2,caucasian,Male,0,0,48,USA,0
30,K3,188146,R2,9,Q2,P10,M2,caucasian,Male,5013,0,40,USA,0
30,K3,59496,R1,13,Q2,P6,M2,caucasian,Male,2407,0,40,USA,0
32,,293936,R9,4,Q4,,M1,caucasian,Male,0,0,40,,0
48,K3,149640,R2,9,Q2,P8,M2,caucasian,Male,0,0,40,USA,0
42,K3,116632,R10,16,Q2,P4,M2,caucasian,Male,0,0,45,USA,1
29,K3,105598,R6,10,Q3,P11,M1,caucasian,Male,0,0,58,USA,0
36,K3,155537,R2,9,Q2,P7,M2,caucasian,Male,0,0,40,USA,0
28,K3,183175,R6,10,Q3,P1,M1,caucasian,Female,0,0,40,USA,0
53,K3,169846,R2,9,Q2,P1,M3,caucasian,Female,0,0,40,USA,1
49,K6,191681,R6,10,Q2,P2,M2,caucasian,Male,0,0,50,USA,1
25,,200681,R6,10,Q1,,M4,caucasian,Male,0,0,40,USA,0
19,K3,101509,R6,10,Q1,P4,M4,caucasian,Male,0,0,32,USA,0
31,K3,309974,R1,13,Q5,P6,M4,black,Female,0,0,40,USA,0
29,K2,162298,R1,13,Q2,P6,M2,caucasian,Male,0,0,70,USA,1
23,K3,211678,R6,10,Q1,P10,M1,caucasian,Male,0,0,40,USA,0
79,K3,124744,R6,10,Q2,P4,M6,caucasian,Male,0,0,20,USA,0
27,K3,213921,R2,9,Q1,P5,M4,caucasian,Male,0,0,40,Mexico,0
40,K3,32214,R7,12,Q2,P1,M2,caucasian,Male,0,0,40,USA,0
67,,212759,R13,6,Q2,,M2,caucasian,Male,0,0,2,USA,0
18,K3,309634,R3,7,Q1,P5,M4,caucasian,Female,0,0,22,USA,0
31,K5,125927,R9,4,Q2,P9,M2,caucasian,Male,0,0,40,USA,0
18,K3,446839,R2,9,Q1,P6,M1,caucasian,Male,0,0,30,USA,0
52,K3,276515,R1,13,Q2,P5,M2,caucasian,Male,0,0,40,Cuba,0
46,K3,51618,R2,9,Q2,P5,M3,caucasian,Female,0,0,40,USA,0
59,K3,159937,R2,9,Q2,P6,M2,caucasian,Male,0,0,48,USA,0
44,K3,343591,R2,9,Q3,P7,M1,caucasian,Female,14344,0,40,USA,1
53,K3,346253,R2,9,Q3,P6,M4,caucasian,Female,0,0,35,USA,0
49,K5,268234,R2,9,Q2,P12,M2,caucasian,Male,0,0,40,USA,1
33,K3,202051,R4,14,Q2,P4,M2,caucasian,Male,0,0,50,USA,0
30,K3,54334,R5,5,Q1,P6,M1,caucasian,Male,0,0,40,USA,0
43,K4,410867,R10,16,Q1,P4,M1,caucasian,Female,0,0,50,USA,1
57,K3,249977,R8,11,Q2,P4,M2,caucasian,Male,0,0,40,USA,0
37,K3,286730,R6,10,Q3,P7,M5,caucasian,Female,0,0,40,USA,0
28,K3,212563,R6,10,Q3,P10,M5,black,Female,0,0,25,USA,0
30,K3,117747,R2,9,Q2,P6,M3,asian,Female,0,1573,35,,0
34,K5,226296,R1,13,Q2,P12,M2,caucasian,Male,0,0,40,USA,1
29,K5,115585,R6,10,Q1,P3,M1,caucasian,Male,0,0,50,USA,0
48,K2,191277,R10,16,Q2,P4,M2,caucasian,Male,0,1902,60,USA,1
37,K3,202683,R6,10,Q2,P6,M2,caucasian,Male,0,0,48,USA,1
48,K3,171095,R7,12,Q3,P2,M5,caucasian,Female,0,0,40,England,0
32,K4,249409,R2,9,Q1,P5,M4,black,Male,0,0,40,USA,0
76,K3,124191,R4,14,Q2,P2,M2,caucasian,Male,0,0,40,USA,1
44,K3,198282,R1,13,Q2,P2,M2,caucasian,Male,15024,0,60,USA,1
47,K2,149116,R4,14,Q1,P4,M1,caucasian,Female,0,0,50,USA,0
20,K3,188300,R6,10,Q1,P11,M4,caucasian,Female,0,0,40,USA,0
29,K3,103432,R2,9,Q1,P7,M1,caucasian,Male,0,0,40,USA,0
32,K6,317660,R2,9,Q2,P7,M2,caucasian,Male,7688,0,40,USA,1
17,,304873,R13,6,Q1,,M4,caucasian,Female,34095,0,32,USA,0
30,K3,194901,R3,7,Q1,P3,M4,caucasian,Male,0,0,40,USA,0
31,K5,189265,R2,9,Q1,P1,M1,caucasian,Female,0,0,40,USA,0
42,K3,124692,R2,9,Q2,P3,M2,caucasian,Male,0,0,40,USA,0
24,K3,432376,R1,13,Q1,P6,M6,caucasian,Male,0,0,40,USA,0
38,K3,65324,R11,15,Q2,P4,M2,caucasian,Male,0,0,40,USA,1
56,K2,335605,R2,9,Q2,P5,M2,caucasian,Male,0,1887,50,Canada,1
28,K3,377869,R6,10,Q2,P6,M3,caucasian,Female,4064,0,25,USA,0
36,K3,102864,R2,9,Q1,P10,M4,caucasian,Female,0,0,40,USA,0
53,K3,95647,R5,5,Q2,P3,M2,caucasian,Male,0,0,50,USA,0
56,K6,303090,R6,10,Q2,P6,M2,caucasian,Male,0,0,50,USA,0
49,K5,197371,R8,11,Q2,P7,M2,black,Male,0,0,40,USA,1
55,K3,247552,R6,10,Q2,P6,M2,caucasian,Male,0,0,56,USA,0
22,K3,102632,R2,9,Q1,P7,M1,caucasian,Male,0,0,41,USA,0
21,K3,199915,R6,10,Q1,P5,M4,caucasian,Female,0,0,40,USA,0
40,K3,118853,R1,13,Q2,P2,M2,caucasian,Male,0,0,60,USA,0
30,K3,77143,R1,13,Q1,P2,M4,black,Male,0,0,40,Germany,0
29,K1,267989,R1,13,Q2,P4,M2,caucasian,Male,0,0,50,USA,1
19,K3,301606,R6,10,Q1,P5,M4,black,Male,0,0,35,USA,0
47,K3,287828,R1,13,Q2,P2,M3,caucasian,Female,0,0,40,USA,1
20,K3,111697,R6,10,Q1,P1,M4,caucasian,Female,0,1719,28,USA,0
31,K3,114937,R7,12,Q2,P1,M2,caucasian,Male,0,0,40,USA,1
35,,129305,R2,9,Q2,,M2,caucasian,Male,0,0,40,USA,0
39,K3,365739,R6,10,Q3,P7,M1,caucasian,Male,0,0,40,USA,0
28,K3,69621,R7,12,Q1,P6,M1,caucasian,Female,0,0,60,USA,0
24,K3,43323,R2,9,Q1,P5,M1,caucasian,Female,0,1762,40,USA,0
38,K2,120985,R2,9,Q2,P7,M2,caucasian,Male,4386,0,35,USA,0
37,K3,254202,R1,13,Q2,P6,M2,caucasian,Male,0,0,50,USA,0
46,K3,146195,R7,12,Q3,P11,M1,black,Female,0,0,36,USA,0
38,K4,125933,R4,14,Q2,P4,M2,caucasian,Male,0,0,40,Iran,1
43,K2,56920,R2,9,Q2,P7,M2,caucasian,Male,0,0,60,USA,0
27,K3,163127,R8,11,Q2,P1,M3,caucasian,Female,0,0,35,USA,0
20,K3,34310,R6,10,Q1,P6,M4,caucasian,Male,0,0,20,USA,0
49,K3,81973,R6,10,Q2,P7,M2,asian,Male,0,0,40,USA,1
61,K6,66614,R2,9,Q2,P7,M2,caucasian,Male,0,0,40,USA,0
27,K3,232782,R6,10,Q1,P6,M4,caucasian,Female,0,0,40,USA,0
19,K3,316868,R6,10,Q1,P5,M4,caucasian,Male,0,0,30,Mexico,0
45,K3,196584,R8,11,Q1,P4,M1,caucasian,Female,0,1564,40,USA,1
70,K3,105376,R6,10,Q1,P11,M6,caucasian,Male,0,0,40,USA,0
31,K3,185814,R2,9,Q1,P8,M5,black,Female,0,0,30,USA,0
22,K3,175374,R6,10,Q2,P5,M2,caucasian,Male,0,0,24,USA,0
36,K3,108293,R2,9,Q7,P5,M5,caucasian,Female,0,0,24,USA,0
64,K3,181232,R3,7,Q2,P7,M2,caucasian,Male,0,2179,40,USA,0
43,,174662,R6,10,Q3,,M1,caucasian,Female,0,0,40,USA,0
47,K5,186009,R6,10,Q3,P1,M5,caucasian,Female,0,0,38,Mexico,0
34,K3,198183,R2,9,Q1,P1,M1,caucasian,Female,0,0,40,USA,0
33,K3,163003,R1,13,Q1,P2,M6,asian,Female,0,0,40,Philippines,0
21,K3,296158,R2,9,Q1,P7,M4,caucasian,Male,0,0,35,USA,0
52,,252903,R2,9,Q3,,M1,caucasian,Male,0,0,45,USA,1
48,K3,187715,R2,9,Q2,P7,M2,caucasian,Male,0,0,46,USA,0
23,K3,214542,R1,13,Q1,P3,M1,caucasian,Male,0,0,40,USA,0
71,K2,494223,R6,10,Q5,P6,M5,black,Male,0,1816,2,USA,0
29,K3,191535,R2,9,Q3,P7,M1,caucasian,Male,0,0,60,USA,0
42,K3,228456,R1,13,Q5,P5,M6,black,Male,0,0,50,USA,0
68,,38317,R14,2,Q3,,M1,caucasian,Female,0,0,20,USA,0
25,K3,252752,R2,9,Q1,P5,M5,caucasian,Female,0,0,40,USA,0
44,K6,78374,R4,14,Q3,P2,M5,asian,Female,0,0,40,USA,0
28,K3,88419,R2,9,Q1,P2,M1,asian,Female,0,0,40,England,0
